id,rec_id,title,image,usedIngredientCount,missedIngredientCount,likes,created_at,updated_at,store_id
331,770137,Seafood Po' Boy with Umami Remoulade,https://spoonacular.com/recipeImages/seafood-po-boy-with-umami-remoulade-770137.jpeg,6,15,4,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
332,575942,"Week of Meals For College Students – Burgers, Pasta & Omelette Week",https://spoonacular.com/recipeImages/week-of-meals-for-college-students-burgers-pasta-omelette-week-575942.jpg,6,17,3,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
333,11616,Stuffed Whole Cabbage,https://spoonacular.com/recipeImages/null,6,18,19,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
334,526462,Holiday Entertaining Tips And My Favorite Fondue,https://spoonacular.com/recipeImages/holiday-entertaining-tips-and-my-favorite-fondue-526462.png,6,18,5,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
335,300633,Crepes Buffet,https://spoonacular.com/recipeImages/crepes-buffet-300633.jpeg,6,18,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
336,109026,Mashpotinis,https://spoonacular.com/recipeImages/mashpotinis-109026.jpg,6,21,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
337,248729,"Apple, Bacon and Cheddar Sticky Buns",https://spoonacular.com/recipeImages/Apple--Bacon-and-Cheddar-Sticky-Buns-248729.jpg,5,6,1856,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
338,474663,Chopped Salmon Arugula Walnut Salad with Honey Wasabi Vinaigrette,https://spoonacular.com/recipeImages/Chopped-Salmon-Arugula-Walnut-Salad-with-Honey-Wasabi-Vinaigrette-474663.jpg,5,7,976,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
339,621394,"apple, walnut + brie bread pudding pancakes",https://spoonacular.com/recipeImages/apple--walnut-+-brie-bread-pudding-pancakes-621394.jpg,5,7,246,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
340,867814,Egg and Avocado Breakfast Sandwich,https://spoonacular.com/recipeImages/egg-and-avocado-breakfast-sandwich-867814.jpg,5,8,1839,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
341,147616,California Quiche,https://spoonacular.com/recipeImages/california-quiche-2-147616.jpg,5,8,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
342,113460,True Breakfast Cookies,https://spoonacular.com/recipeImages/true-breakfast-cookies-2-113460.jpg,5,9,15,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
343,89876,Tuna Mornay With Orange and Leek,https://spoonacular.com/recipeImages/tuna-mornay-with-orange-and-leek-2-89876.jpg,5,9,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
344,289854,Big Bacon Burger,https://spoonacular.com/recipeImages/big-bacon-burger-289854.jpeg,5,9,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
345,318405,"Popovers Stuffed with Crab, Avocado and Mango Chopped Salad",https://spoonacular.com/recipeImages/popovers-stuffed-with-crab-avocado-and-mango-chopped-salad-318405.jpeg,5,9,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
346,752843,Ploughman's Lunch,https://spoonacular.com/recipeImages/ploughmans-lunch-752843.jpeg,5,11,628,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
347,363658,Chocolate Peanut Butter Banana Cream Pie,https://spoonacular.com/recipeImages/chocolate-peanut-butter-banana-cream-pie-363658.jpeg,5,11,3,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
